799,900,469,190,247,80,303,132,176,118,116,51,98,144,20,52,16,16,9,1,11,0,24,0,17,0,4,14,15,9,10,0,4,1,3,3,2,7,5,0,0,0,5,10,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0
265,144,73,51,32,21,81,32,37,25,22,21,73,37,17,6,1,18,2,1,9,0,6,11,3,22,2,6,0,0,5,0,3,0,6,8,3,0,1,0,0,1,1,1,2,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,1,0,0,0,0
6290,3979,2257,1220,609,773,961,776,474,601,447,343,630,604,185,93,64,204,47,0,28,0,53,0,153,0,3,69,71,35,22,16,8,0,26,15,62,49,134,113,0,2,14,34,0,17,0,0,0,20,1,0,0,0,0,0,0,20,0,0,0,17,0,0,5,10,0,0,0,0
35146,14535,10203,5092,2197,3951,2123,878,1404,2528,1159,980,3028,296,702,21,0,91,49,100,89,0,96,53,0,73,114,51,53,46,10,0,1,0,26,30,76,11,17,0,0,0,38,118,0,0,2,0,0,44,42,0,0,0,0,0,0,0,0,0,0,7,4,0,0,22,44,0,0,0
1797,1899,618,421,591,161,355,328,392,275,342,145,118,299,94,253,73,61,27,42,65,0,71,0,73,0,3,31,35,15,66,6,54,1,15,43,4,2,35,0,0,0,26,14,0,38,0,0,0,3,2,0,0,0,0,0,0,4,0,0,0,0,0,0,1,2,0,0,0,0
1410,2143,917,205,577,149,258,222,361,312,282,92,83,180,97,149,43,56,26,4,30,0,62,0,49,0,27,17,39,20,32,0,5,0,14,19,17,4,13,0,0,0,11,11,0,25,0,0,0,8,8,0,0,0,0,0,0,3,0,0,0,7,0,0,1,7,0,0,0,0
273377,143559,77912,54201,27832,29341,51109,26472,27928,30013,13517,8145,26810,26325,3527,3183,4938,2694,420,274,971,0,1340,302,1786,363,946,6269,759,1009,2047,2060,76,115,310,645,1338,582,429,5,907,218,812,837,1,0,17,157,37,510,116,109,560,0,0,0,0,337,0,0,62,91,18,7,269,768,2,13,0,0
8200,6644,2837,1260,1559,2643,2623,1935,1740,714,1130,529,980,950,275,300,643,371,15,14,108,0,142,28,106,40,38,164,60,59,147,6,4,7,63,49,45,28,67,13,0,45,163,91,6,0,0,0,9,14,6,0,0,0,0,0,0,37,0,0,1,13,1,2,17,19,0,0,0,0
9469,8073,4133,2799,928,1263,2073,1026,912,944,738,241,1044,439,51,101,0,40,8,0,50,0,4,1,55,1,0,48,35,7,8,0,28,0,28,35,0,21,3,0,0,0,42,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,22,0,0,0,0
3160,148,386,271,402,394,221,413,290,330,203,293,124,125,58,0,178,56,10,20,46,0,28,37,0,65,11,18,10,92,33,0,3,6,15,10,43,2,45,6,0,7,55,44,8,2,13,0,21,0,0,0,0,0,0,0,0,5,0,0,1,11,6,0,22,2,9,0,0,0
12735,9556,5732,4991,1838,811,2159,1200,1324,1797,680,373,899,1208,372,296,62,162,21,31,119,0,19,0,50,0,8,406,40,32,44,16,10,12,37,29,33,22,36,6,1,30,106,91,8,0,0,13,0,23,12,3,2,0,0,0,0,16,0,0,0,9,0,0,31,16,0,0,0,0
